Id,Precinct,Violation,2007,2008,2009,2010,2011,2012,2013,2014,Max
1542,17,UNAUTHORIZED POSTING,0,0,0,1,0,0,0,1,133
1543,17,NO SECURITY GUARD LICENSE,0,0,5,0,2,12,8,3,66
1544,17,NOISE (DEVICE),2,0,0,1,0,1,0,0,376
1545,17,OTHER TAXI LIMOUSINE COMMISSION,5,1,1,7,5,4,10,14,279
1546,17,SALE OF ALCOHOL TO A MINOR,7,0,1,4,0,4,1,1,69
1547,17,SOUND REPRODUCTION DEVICE-NO PERMIT,0,1,0,0,0,0,0,0,51
1548,17,VEHICLE IN PARK,0,1,0,0,0,0,0,0,623
1549,17,HARASSMENT 2,1,3,4,3,3,1,0,0,53
1550,17,NOISE (HORN/ALARM),1,0,1,1,3,0,0,0,121
1551,17,DISORDERLY PERSON IN PARK,0,3,0,0,0,0,0,0,104
1552,17,DOG: UNLEASHED,0,0,0,0,1,0,1,0,345
1553,17,DOG: UNLICENSED,0,0,0,1,0,0,0,0,272
1554,17,FAILURE TO SURRENDER LICENSE OR REGISTRATION,0,1,1,0,1,0,0,1,54
1555,17,OBSTRUCTED VIEW OF PREMISE,0,0,0,1,0,0,0,1,56
1556,17,OTHER ALCOHOL BEVERAGE CONTROL LAWS,13,15,7,21,10,10,3,7,293
1557,17,"UNAUTHORIZED SIGNS (TAXI, CAR SERVICE)",0,1,0,1,0,0,0,0,87
1558,17,UNLICENSED SALE OF ALCOHOL,1,1,1,2,1,1,0,0,100
1559,17,BICYCLE ON SIDEWALK,186,117,45,63,108,43,20,19,2730
1560,17,FIRE HYDRANT,2,0,0,0,0,0,0,0,4
1561,17,UNLAWFULLY POSTING ADVERTISEMENTS,2,0,0,0,0,0,0,0,45
1562,17,BOX CUTTER,0,4,1,0,1,0,1,0,55
1563,17,LITTERNG,1,7,1,0,3,0,0,0,28
1564,17,OTHER NAVIGATION LAW,0,0,0,0,0,0,1,0,67
1565,17,SEX IN PARK,0,2,0,0,1,1,0,0,42
1566,17,FAILURE TO YIELD TO PEDESTRIAN IN CROSSWALK,1,0,0,0,0,0,0,0,13
1567,17,FOOD PROTECTION/STORAGE/TRANSPORTATION,0,1,0,4,3,2,0,0,31
1568,17,UNLICENSED VEHICLE FOR HIRE,15,7,15,16,24,13,3,1,705
1569,17,ILLEGAL BOTTLE CLUB,0,0,1,1,0,0,0,0,106
1570,17,POSSESSION OF MACE,0,0,0,1,0,0,1,1,12
1571,17,UNLICENSED CABARET,0,0,0,0,1,1,0,0,98
1572,17,BICYCLE (OTHER),0,0,0,1,0,1,0,0,29
1573,17,NO PREGNANCY WARNING SIGN,0,0,0,1,4,1,0,2,31
1574,17,JAYWALKING,1,0,1,1,0,0,0,1,324
1575,17,RED LIGHT (DISOBEY),0,0,0,0,0,1,0,0,548
1576,17,VENDOR: (OTHER),0,0,2,3,2,1,1,0,1608
1577,17,LIMITED USE AUTOMOBILE REVOCATION OR SUSPENSION,4,3,1,6,5,3,3,2,263
1578,17,INSURANCE STAMP EXPIRED,1,0,0,1,3,0,0,0,44
1579,17,NO BUSINESS CERTIFICATE,0,0,0,0,0,0,0,1,89
1580,17,KEY IN IGNITION,0,0,0,2,0,0,3,1,558
1581,17,OTHER SANITARY CODE,0,0,0,0,0,1,0,0,27
1582,17,LEAVING THE SCENE OF AN ACCIDENT (PROPERTY DAMAGE),0,0,3,1,1,0,0,0,6
1583,17,AFTER HOURS CONSUMPTION,0,0,0,0,1,0,0,2,203
1584,17,PANHANDLING,7,5,4,1,1,4,0,0,284
1585,17,UNAUTHORIZED USE OF POLICE INSIGNIA,0,0,0,0,1,0,0,0,35
1586,17,TAXI-NO METER,1,1,0,0,0,0,0,0,24
1587,17,ONE WAY STREET,1,0,0,1,0,1,1,6,634
1588,17,VENDOR:RESTRICTIONS ON PLACMENT VEHICLE/PUSHCARTS,0,0,0,0,1,1,0,0,778
1589,17,DOG: FAILURE TO REMOVE CANINE WASTE,0,0,0,1,0,0,0,0,73
1590,17,VENDOR: FAIL TO DISPLAY PERMIT,0,0,0,2,0,0,0,0,400
1591,17,PICK UP HAIL IN BUS STOP,0,0,0,1,0,0,0,0,271
1592,17,LOITERING (MASKED/DISGUISE),0,0,0,0,0,0,0,7,13
1593,17,IDLING OF VEHICLE,0,0,1,1,0,0,0,0,216
1594,17,CONSUMPTION OF ALCOHOL IN PARK,2,7,1,0,0,0,0,0,538
1595,17,TOW TRUCK VIOLATIONS (OTHER),0,0,0,1,0,0,0,0,36
1596,17,OTHER AGRICULTURE & MARKETS LAW,0,0,0,0,1,0,0,0,10
1597,17,NO MEDALLION,0,1,0,0,0,0,0,0,7
1598,17,UNSAFE LANE CHANGE,1,5,0,0,0,0,0,0,5
1599,17,LOITERING (SCHOOL),0,0,0,0,1,0,0,0,143
1600,17,DRIVE ON SIDEWALK,1,0,0,0,0,0,0,0,20
1601,17,AGGRAVATED UNLICENSED OPERATOR,0,1,0,0,1,2,0,0,208
1602,17,FAIL TO YIELD FOR EMERGENCY VEHICLE,1,2,4,0,1,0,0,0,5
1603,17,CROSSWALK,0,0,0,0,0,2,1,0,11
1604,17,NON PAYMENT OF FARE (BUS),0,1,0,0,2,0,0,0,468
1605,17,SAFETY BELT (CHILD),0,1,0,0,0,0,0,0,4
1606,17,BICYCLE NO LIGHTS,0,1,0,0,0,0,0,0,25
1607,17,BICYCLE NO SAFETY HELMET,0,0,0,0,7,4,0,0,15
1608,17,WINDSHIELD WASHERS,0,1,0,0,0,0,0,0,11
1609,17,LOITERING (BEGGING),0,1,0,0,0,0,0,0,5
1610,17,LOITERING (UNCLASSIFIED),2,0,0,0,0,0,0,0,14
1611,17,UNAUTHORIZED COLOR (TAXI YELLOW),1,0,0,0,0,0,0,0,11
1612,17,LOITERING (TRANSPORTATION FACILITY),0,1,0,0,0,0,0,0,6
1613,17,UNAUTHORIZED TAXI FOR HIRE,0,0,0,0,0,1,0,0,27
1614,17,OBSTRUCTED VIEW,0,0,0,0,1,0,0,0,9
1615,17,MISSING EQUIPMENT,3,0,0,0,0,0,0,0,3
1616,17,LOITERING (TRANSPORTATION FACILITY/SLEEPING),0,0,0,0,0,1,0,0,2
1617,17,NO MATCH PLATE/STICKER,0,0,0,0,0,1,0,0,1
1619,18,BROKEN WINDSHIELD,2,3,0,0,0,0,0,0,6
1620,18,CONSUMPTION OF ALCOHOL,680,786,933,1197,638,902,778,655,6323
1621,18,CRUISING PROHIBITED - MEDALLION,13,15,5,5,2,0,2,1,184
1622,18,DEFECTIVE BREAKLIGHT,1,6,0,0,0,0,8,2,59
1623,18,DEFECTIVE HEADLIGHT,9,1,0,2,0,0,1,1,31
1624,18,DISORDERLY CONDUCT,1757,1528,1601,1312,1110,962,858,581,6537
1625,18,INADEQUATE MOTOR VEHICLE EQUIPMENT,21,26,1,3,0,2,4,2,335
1626,18,PARKING A VEHICLE EXCEEDING 12 INCHES FROM CURB,0,0,0,4,13,0,0,0,61
1627,18,EXPOSURE OF PERSON,16,3,2,1,9,6,2,2,200
1628,18,FEDERAL MOTOR VEHICLE SAFETY REGULATIONS,62,234,182,65,59,60,52,99,3695
1629,18,LITTERING,37,48,22,9,12,16,14,12,1253
1630,18,"MARIJUANA, POSSESSION OF",45,53,59,70,46,175,123,85,1020
1631,18,NO CERTIFICATE OF AUTHORITY,4,5,4,36,0,5,1,0,530
1632,18,NO CHAUFFEURS LICENSE (CLASS E),3,6,3,13,11,5,4,12,285
1633,18,COMMERCIAL VEHICLES NO NAME OR ADDRESS DISPLAYED,21,12,4,1,0,3,2,0,375
1634,18,NO TAX STAMP,62,63,45,35,11,18,8,3,437
1635,18,OBSTRUCTING TRAFFIC,0,0,0,0,2,0,1,2,117
1636,18,OTHER ADMINISTRATIVE CODE,243,375,184,721,930,867,834,1044,2214
1637,18,OTHER HEALTH CODE,37,20,7,7,0,11,9,7,905
1638,18,OTHER NYS TRANSPORTATION,237,155,2,86,358,354,254,165,1420
1639,18,OTHER TAX LAW,4,1,0,6,2,0,0,0,130
1640,18,OTHER TRAFFIC REGULATIONS,52,28,12,246,431,240,245,105,773
1641,18,OTHER VEHICLE TRAFFIC LAW,21,34,11,41,28,47,61,68,541
1642,18,OVERWEIGHT (VEHICLE),8,5,0,0,0,0,0,0,38
1643,18,PAVEMENT MARKING (DISOBEY),1,0,0,0,0,0,0,0,84
1644,18,RECKLESS DRIVING,177,166,67,95,62,71,69,58,862
1645,18,TRESPASS,58,124,141,104,62,68,97,183,1068
1646,18,UNINSPECTED VEHICLE,4,3,0,0,1,1,0,1,25
1647,18,UNINSURED VEHICLE,4,6,2,1,2,3,1,2,163
1648,18,UNREGISTERED VEHICLE,8,2,3,1,2,5,5,11,268
1649,18,URINATING IN PUBLIC,182,143,259,255,227,210,216,160,3477
1650,18,VENDOR: DISPLAY MERCHANDISE ON SIDEWALK,8,7,2,3,7,5,40,43,337
1651,18,VENDOR: UNLICENSED,31,27,89,65,12,9,10,9,638
1652,18,INDETERMINABLE,150,1,7,3,1,0,6,3,1503
1653,18,DEFECTIVE REFLECTOR,1,2,0,0,0,0,0,1,16
1654,18,FAILURE TO COMPLY WITH SIGN,4,4,3,10,22,13,21,12,3756
1655,18,HIGHWAY USE TAX (NEW YORK STATE),28,21,2,0,0,0,0,0,91
1656,18,NOISE (UNREASONABLE),14,5,7,18,9,8,25,30,2681
1657,18,OTHER PENAL LAW,17,20,10,13,25,9,4,6,288
1658,18,PARK REGULATIONS(LITTERING/POLLUTING/DUMPING/UNATTENDED PROPERTY),0,7,3,2,3,0,5,1,1061
1659,18,SALE/PURCHASE/USE OF ALCOHOL BY MINOR,4,17,18,9,13,9,10,1,305
1660,18,SPITTING IN PUBLIC,7,4,3,0,1,1,5,3,337
1661,18,UNLICENSED OPERATOR,2,8,3,3,9,15,3,1,41
1662,18,BICYCLE INFRACTION (COMMERCIAL),186,136,26,86,294,190,246,498,3180
1663,18,IMPROPER PLATES,2,1,2,0,1,0,0,0,65
1664,18,"KNIFE, ANY IN PUBLIC VIEW",13,21,73,54,26,31,26,8,342
1665,18,DISORDERLY PREMISE LICENSED TO SELL ALCOHOL,3,0,0,0,0,0,1,2,35
1666,18,FAIL TO COMPLY WITH ORDER,2,5,4,1,4,5,2,0,13
1667,18,FAIL TO COMPLY WITH TAXI LIMOUSINE COMMISSION REGULATIONS,74,49,11,23,170,363,274,289,683
1668,18,SAFETY BELT (ADULT),0,0,0,0,0,0,2,0,9
1669,18,UNINSURED VEHICLES FOR HIRE,1,2,3,25,7,2,1,3,164
1670,18,OTHER PARK REGULATIONS,13,22,28,9,3,5,4,2,536
1671,18,ACCEPT ON HAIL,49,78,50,78,124,74,77,59,694
1672,18,IMPROPER REGISTRATION,1,0,0,0,0,0,0,0,2
1673,18,OTHER TRANSIT REGULATIONS,0,0,0,5,8,0,1,1,145
1674,18,UNDERAGE DRINKING,4,10,4,10,4,13,7,3,484
1675,18,NO TRIP SHEET,125,8,4,1,1,0,6,3,177
1676,18,POSSESSION OF KNIFE,3,3,3,2,1,4,5,3,67
1677,18,REVOKED REGISTRATION,2,0,0,0,1,2,2,10,139
1678,18,UNAUTHORIZED POSTING,0,0,2,0,0,0,2,0,133
1679,18,INVALID PROOF OF INSURANCE,0,0,1,0,0,0,0,1,32
1680,18,NO SECURITY GUARD LICENSE,4,6,1,8,0,1,0,0,66
1681,18,NOISE (DEVICE),9,3,1,2,6,4,2,2,376
1682,18,OTHER TAXI LIMOUSINE COMMISSION,29,9,2,11,67,65,82,160,279
1683,18,SALE OF ALCOHOL TO A MINOR,0,1,6,5,0,0,0,0,69
1684,18,SOUND REPRODUCTION DEVICE-NO PERMIT,3,6,3,1,2,2,3,2,51
1685,18,VEHICLE IN PARK,0,1,0,0,0,0,0,0,623
1686,18,HARASSMENT 2,12,10,8,7,3,7,8,8,53
1687,18,NOISE (HORN/ALARM),2,5,3,4,4,3,20,19,121
1688,18,DISORDERLY PERSON IN PARK,1,1,0,0,0,0,0,2,104
1689,18,DOG: UNLEASHED,2,1,0,0,0,1,0,1,345
1690,18,DOG: UNLICENSED,0,0,2,0,0,0,1,0,272
1691,18,FAILURE TO SURRENDER LICENSE OR REGISTRATION,0,0,0,0,1,0,0,0,54
1692,18,OBSTRUCTED VIEW OF PREMISE,0,0,0,0,0,0,1,1,56
1693,18,OTHER ALCOHOL BEVERAGE CONTROL LAWS,29,15,3,18,22,11,10,4,293
1694,18,"UNAUTHORIZED SIGNS (TAXI, CAR SERVICE)",1,0,0,0,0,0,0,0,87
1695,18,UNLICENSED SALE OF ALCOHOL,2,1,0,3,1,1,1,0,100
1696,18,CONSUMPTION OF ALCOHOL IN VEHICLE,0,0,0,0,0,0,1,1,10
1697,18,BICYCLE ON SIDEWALK,22,53,38,66,216,121,123,45,2730
1698,18,OTHER BUSINESS LAW,0,1,1,0,0,0,0,0,80
1699,18,UNLAWFULLY POSTING ADVERTISEMENTS,1,1,1,0,0,0,1,0,45
1700,18,BOX CUTTER,2,1,0,3,0,8,4,2,55
1701,18,LITTERNG,0,0,1,0,0,0,0,0,28
1702,18,OTHER NAVIGATION LAW,0,0,7,0,0,0,1,0,67
1703,18,VENDING: NO TAX STAMP,19,9,16,4,4,25,6,3,317
1704,18,FIREWORKS,2,0,1,0,0,0,0,0,72
1705,18,FAILURE TO YIELD TO PEDESTRIAN IN CROSSWALK,0,1,0,0,0,0,0,0,13
1706,18,UNLICENSED VEHICLE FOR HIRE,31,3,9,18,44,10,8,4,705
1707,18,ILLEGAL BOTTLE CLUB,0,0,0,0,0,0,1,0,106
1708,18,POSSESSION OF MACE,1,0,2,1,0,0,2,1,12
1709,18,VENDING ON PARKING METER,12,7,0,0,0,1,0,1,274
1710,18,UNLICENSED CABARET,0,0,0,0,0,0,0,2,98
1711,18,BICYCLE (OTHER),2,2,1,3,3,1,2,1,29
1712,18,NO PREGNANCY WARNING SIGN,4,0,1,1,2,2,2,2,31
1713,18,JAYWALKING,0,0,0,0,2,1,0,11,324
1714,18,RED LIGHT (DISOBEY),2,3,1,2,1,0,0,0,548
1715,18,VENDOR: (OTHER),0,0,38,119,161,264,257,212,1608
1716,18,LIMITED USE AUTOMOBILE REVOCATION OR SUSPENSION,3,3,5,14,23,8,12,24,263
1717,18,INSURANCE STAMP EXPIRED,0,1,0,0,1,0,0,3,44
1718,18,KEY IN IGNITION,0,3,5,2,0,1,0,0,558
1719,18,OTHER SANITARY CODE,0,0,0,2,0,0,0,0,27
1720,18,LEAVING THE SCENE OF AN ACCIDENT (PROPERTY DAMAGE),1,0,0,0,1,2,0,0,6
1721,18,PANHANDLING,3,15,5,0,1,0,0,1,284
1722,18,PICK-UP FARE IN BUS STOP,0,0,0,1,7,6,12,17,23
1723,18,ONE WAY STREET,2,2,1,2,2,0,0,0,634
1724,18,VENDOR:RESTRICTIONS ON PLACMENT VEHICLE/PUSHCARTS,0,0,11,17,67,136,363,465,778
1725,18,DOG: FAILURE TO REMOVE CANINE WASTE,1,1,0,0,1,0,0,0,73
1726,18,"IMITATION PISTOL/AIR RIFLE, POSSESSION OF",0,1,1,0,1,0,0,0,16
1727,18,VENDOR: FAIL TO DISPLAY PERMIT,0,0,36,54,37,38,32,14,400
1728,18,PICK UP HAIL IN BUS STOP,0,2,1,1,13,0,8,10,271
1729,18,SMOKING IN TRAIN STATION,0,0,0,1,0,0,0,0,74
1730,18,LOITERING (MASKED/DISGUISE),0,0,0,0,0,0,0,1,13
1731,18,VENDOR: FAIL TO DISPLAY PRICES,0,0,0,3,3,3,6,5,416
1732,18,OTHER ENVIRONMENTAL CONSERVATION LAW,0,0,0,1,1,0,4,0,14
1733,18,IDLING OF VEHICLE,2,3,4,4,6,6,6,7,216
1734,18,CONSUMPTION OF ALCOHOL IN PARK,0,0,0,2,0,0,0,0,538
1735,18,TOW TRUCK VIOLATIONS (OTHER),0,0,0,0,0,0,1,0,36
1736,18,INSPECTION STICKER (MISSING/EXPIRED),0,0,0,0,0,0,0,1,2
1737,18,OTHER AGRICULTURE & MARKETS LAW,0,0,0,0,0,0,0,1,10
1738,18,NO SMOKING SIGNS NOT POSTED,0,0,0,0,0,0,1,1,162
1739,18,LOITERING (GAMBLING),1,0,0,0,0,0,29,0,473
1740,18,NO MEDALLION,0,0,0,0,0,0,1,0,7
1741,18,UNSAFE LANE CHANGE,1,0,0,0,0,0,0,0,5
1742,18,OPEN FIRE,1,0,0,0,0,0,0,0,33
1743,18,LOITERING (SCHOOL),3,4,8,1,1,1,0,0,143
1744,18,FAIL TO YIELD FOR EMERGENCY VEHICLE,0,1,1,0,0,0,0,2,5
1745,18,PROMOTING EXPOSURE,2,0,0,0,0,0,0,1,7
1746,18,DOG IN PARK,0,1,0,0,0,0,0,0,35
1747,18,VENDOR: OVERSIZE TABLE,0,0,0,0,1,4,8,9,96
1748,18,CROSSWALK,0,0,0,0,1,1,0,0,11
1749,18,BARE HAND CONTACT (FOOD),0,0,1,0,2,2,4,1,50
1750,18,BICYCLE NO LIGHTS,0,0,0,1,0,1,1,0,25
1751,18,BICYCLE NO BELL,0,0,0,3,0,0,0,0,61
1752,18,DUMPING,1,0,0,0,0,0,0,0,10
1753,18,BICYCLE NO SAFETY HELMET,0,0,0,0,2,1,1,2,15
1754,18,VIOLATE RESTRICTED USE LICENSE,0,0,0,0,1,0,0,0,3
1755,18,WINDSHIELD WASHERS,0,1,0,0,0,0,0,0,11
1756,18,LOITERING (UNCLASSIFIED),0,0,1,0,0,0,0,0,14
1757,18,UNAUTHORIZED TAXI FOR HIRE,0,0,0,0,0,0,0,1,27
1758,18,OTHER MULTIPLE DWELLING,0,1,0,0,0,0,0,0,222
1759,18,VENDOR: BEYOND MARKET SPACE,0,0,0,0,0,0,0,2,3
1760,18,OBSTRUCTED VIEW,0,0,0,0,1,0,0,0,9
1761,18,OTHER ARTS AND CULTURAL AFFAIRS,0,0,0,0,2,0,0,0,11
1762,18,NO STANDING (BUS LANE),0,0,0,0,0,0,1,0,14
1763,18,U-TURN,1,0,0,0,0,0,0,0,24
1764,18,NO STANDING,0,0,0,0,0,4,1,0,18
1765,18,TICKET SPECULATION,6,1,0,2,5,1,3,0,468
1766,18,NO STANDING (BUS STOP),0,0,0,0,0,0,0,3,23
1768,19,CONSUMPTION OF ALCOHOL,334,275,522,619,490,367,191,166,6323
1769,19,CRUISING PROHIBITED - MEDALLION,2,0,4,9,4,4,4,0,184
1770,19,DEFECTIVE BREAKLIGHT,5,1,0,0,0,0,0,0,59
1771,19,DEFECTIVE HEADLIGHT,7,1,0,0,0,0,0,0,31
1772,19,DISORDERLY CONDUCT,434,369,540,585,456,475,270,216,6537
1773,19,INADEQUATE MOTOR VEHICLE EQUIPMENT,15,1,3,1,0,0,0,0,335
1774,19,PARKING A VEHICLE EXCEEDING 12 INCHES FROM CURB,0,0,2,0,2,1,0,0,61
1775,19,EXPOSURE OF PERSON,7,2,2,3,4,3,2,2,200
1776,19,FEDERAL MOTOR VEHICLE SAFETY REGULATIONS,108,51,20,44,75,197,111,59,3695
1777,19,LITTERING,28,27,33,21,16,22,15,9,1253
1778,19,"MARIJUANA, POSSESSION OF",80,47,74,65,58,43,22,23,1020
1779,19,NO CERTIFICATE OF AUTHORITY,0,0,1,0,0,0,0,0,530
1780,19,NO CHAUFFEURS LICENSE (CLASS E),4,6,11,7,23,13,12,6,285
1781,19,COMMERCIAL VEHICLES NO NAME OR ADDRESS DISPLAYED,28,11,7,5,5,10,5,6,375
1782,19,NO TAX STAMP,17,26,32,21,1,38,56,6,437
1783,19,OBSTRUCTING TRAFFIC,1,1,0,0,3,0,0,1,117
1784,19,OTHER ADMINISTRATIVE CODE,1883,219,156,110,103,187,241,60,2214
1785,19,OTHER HEALTH CODE,37,5,16,5,2,13,90,3,905
1786,19,OTHER NYS TRANSPORTATION,254,195,35,11,11,47,71,1,1420
1787,19,OTHER TAX LAW,2,0,2,2,1,2,0,0,130
1788,19,OTHER TRAFFIC REGULATIONS,28,19,20,10,23,16,13,8,773
1789,19,OTHER VEHICLE TRAFFIC LAW,64,71,136,39,45,42,31,15,541
1790,19,OVERWEIGHT (VEHICLE),10,6,1,1,1,0,6,0,38
1791,19,PAVEMENT MARKING (DISOBEY),4,0,84,43,0,1,0,0,84
1792,19,RECKLESS DRIVING,430,452,701,661,862,811,517,32,862
1793,19,TRESPASS,54,38,106,107,54,30,16,10,1068
1794,19,UNINSPECTED VEHICLE,6,2,1,0,0,1,0,0,25
1795,19,UNINSURED VEHICLE,9,7,50,20,53,31,13,1,163
1796,19,UNREGISTERED VEHICLE,16,13,11,8,6,17,5,3,268
1797,19,URINATING IN PUBLIC,123,111,183,235,186,108,77,38,3477
1798,19,VENDOR: DISPLAY MERCHANDISE ON SIDEWALK,45,10,24,12,12,18,7,0,337
1799,19,VENDOR: UNLICENSED,34,48,18,69,16,17,29,0,638
1800,19,INDETERMINABLE,107,13,22,6,40,20,4,1,1503
1801,19,FAILURE TO COMPLY WITH SIGN,2,12,52,76,36,71,20,43,3756
1802,19,HIGHWAY USE TAX (NEW YORK STATE),14,11,1,1,0,6,2,1,91
1803,19,NOISE (UNREASONABLE),5,4,23,8,26,13,9,3,2681
1804,19,OTHER PENAL LAW,4,12,7,7,3,3,2,1,288
1805,19,PARK REGULATIONS(LITTERING/POLLUTING/DUMPING/UNATTENDED PROPERTY),17,2,9,9,5,5,7,6,1061
1806,19,SALE/PURCHASE/USE OF ALCOHOL BY MINOR,8,5,16,23,20,12,9,0,305
1807,19,SPITTING IN PUBLIC,9,4,10,11,5,2,0,0,337
1808,19,UNLICENSED OPERATOR,8,3,8,5,3,2,1,0,41
1809,19,BICYCLE INFRACTION (COMMERCIAL),2645,1463,2187,2174,3180,2620,1378,177,3180
1810,19,IMPROPER PLATES,3,8,3,4,2,3,1,0,65
1811,19,"KNIFE, ANY IN PUBLIC VIEW",3,3,4,8,5,4,5,0,342
1812,19,DISORDERLY PREMISE LICENSED TO SELL ALCOHOL,5,1,2,1,2,0,0,0,35
1813,19,FAIL TO COMPLY WITH ORDER,1,2,1,1,2,1,0,0,13
1814,19,FAIL TO COMPLY WITH TAXI LIMOUSINE COMMISSION REGULATIONS,65,10,18,26,85,57,72,18,683
1815,19,SAFETY BELT (ADULT),0,0,4,2,0,0,0,0,9
1816,19,UNINSURED VEHICLES FOR HIRE,2,6,19,19,24,45,51,1,164
1817,19,OTHER PARK REGULATIONS,6,25,12,4,6,2,0,4,536
1818,19,ACCEPT ON HAIL,9,12,11,21,58,19,16,9,694
1819,19,OTHER TRANSIT REGULATIONS,3,6,5,1,0,0,0,0,145
1820,19,UNDERAGE DRINKING,7,5,38,11,23,10,6,1,484
1821,19,NO TRIP SHEET,35,4,1,1,0,0,0,0,177
1822,19,POSSESSION OF KNIFE,1,2,1,2,1,2,1,0,67
1823,19,REVOKED REGISTRATION,5,1,8,8,14,1,0,0,139
1824,19,UNAUTHORIZED POSTING,4,1,0,1,0,0,0,0,133
1825,19,INVALID PROOF OF INSURANCE,1,1,2,1,32,13,2,1,32
1826,19,NO SECURITY GUARD LICENSE,2,0,0,0,10,3,1,0,66
1827,19,NOISE (DEVICE),0,1,5,2,1,0,0,0,376
1828,19,OTHER TAXI LIMOUSINE COMMISSION,25,0,21,18,41,38,91,0,279
1829,19,SALE OF ALCOHOL TO A MINOR,1,0,1,6,10,2,6,0,69
1830,19,HARASSMENT 2,17,12,9,5,2,0,3,3,53
1831,19,NOISE (HORN/ALARM),0,3,2,1,4,5,5,1,121
1832,19,DISORDERLY PERSON IN PARK,5,4,1,0,0,1,0,1,104
1833,19,DOG: UNLEASHED,0,2,2,2,2,1,1,1,345
1834,19,DOG: UNLICENSED,2,9,8,3,1,1,0,1,272
1835,19,FAILURE TO SURRENDER LICENSE OR REGISTRATION,0,0,0,0,5,0,2,0,54
1836,19,OBSTRUCTED VIEW OF PREMISE,0,0,0,0,0,0,0,0,56
1837,19,OTHER ALCOHOL BEVERAGE CONTROL LAWS,1,2,4,4,12,19,20,18,293
1838,19,"UNAUTHORIZED SIGNS (TAXI, CAR SERVICE)",2,0,1,6,3,0,0,0,87
1839,19,UNLICENSED SALE OF ALCOHOL,0,0,1,0,2,0,4,0,100
1840,19,CONSUMPTION OF ALCOHOL IN VEHICLE,0,0,2,2,0,0,0,0,10
1841,19,BICYCLE ON SIDEWALK,216,133,283,686,1388,2160,1040,14,2730
1842,19,FIRE HYDRANT,1,0,0,0,0,0,0,0,4
1843,19,OTHER BUSINESS LAW,1,0,0,0,0,0,0,0,80
1844,19,UNLAWFULLY POSTING ADVERTISEMENTS,1,1,1,0,0,1,1,0,45
1845,19,BOX CUTTER,2,1,5,0,1,1,3,0,55
1846,19,LITTERNG,5,1,2,0,2,0,0,0,28
1847,19,OTHER NAVIGATION LAW,0,0,1,0,0,2,0,0,67
1848,19,SEX IN PARK,0,0,0,0,0,1,0,0,42
1849,19,VENDING: NO TAX STAMP,1,5,13,3,5,10,0,0,317
1850,19,FAILURE TO YIELD TO PEDESTRIAN IN CROSSWALK,0,1,2,0,1,0,0,0,13
1851,19,FOOD PROTECTION/STORAGE/TRANSPORTATION,0,0,0,0,1,1,0,0,31
1852,19,UNLICENSED VEHICLE FOR HIRE,8,13,26,19,19,8,18,3,705
1853,19,LOITERING (SEXUAL CONDUCT),0,0,2,0,0,0,0,0,6
1854,19,POSSESSION OF MACE,1,0,1,0,0,1,0,0,12
1855,19,VENDING ON PARKING METER,77,19,9,8,8,20,6,0,274
1856,19,UNLICENSED CABARET,0,0,0,0,1,2,0,0,98
1857,19,URINATE/DEFICATE IN PARK,0,0,0,0,0,1,0,0,88
1858,19,BICYCLE (OTHER),25,29,17,2,0,1,4,1,29
1859,19,NO PREGNANCY WARNING SIGN,0,0,0,0,7,9,6,0,31
1860,19,JAYWALKING,5,2,0,1,3,0,1,4,324
1861,19,RED LIGHT (DISOBEY),141,111,548,222,41,6,4,0,548
1862,19,VENDOR: (OTHER),0,0,5,10,11,9,23,7,1608
1863,19,LIMITED USE AUTOMOBILE REVOCATION OR SUSPENSION,3,1,1,27,94,52,25,3,263
1864,19,INSURANCE STAMP EXPIRED,1,6,5,0,1,0,12,25,44
1865,19,KEY IN IGNITION,0,0,0,4,4,9,8,2,558
1866,19,LEAVING THE SCENE OF AN ACCIDENT (PROPERTY DAMAGE),1,1,0,0,0,2,0,0,6
1867,19,AFTER HOURS CONSUMPTION,2,1,0,0,1,0,1,0,203
1868,19,IMPROPER STICKER,3,5,1,0,2,0,0,0,539
1869,19,PANHANDLING,2,3,4,0,0,0,0,0,284
1870,19,UNATTENDED VEHICLE (ENGINE RUNNING),0,0,0,1,3,7,1,3,24
1871,19,UNAUTHORIZED USE OF POLICE INSIGNIA,2,1,0,0,0,0,0,0,35
1872,19,PICK-UP FARE IN BUS STOP,0,0,0,0,5,4,2,0,23
1873,19,TAXI-NO METER,0,0,2,1,8,4,1,1,24
1874,19,ONE WAY STREET,194,207,634,182,34,0,3,0,634
1875,19,VENDOR:RESTRICTIONS ON PLACMENT VEHICLE/PUSHCARTS,0,0,2,50,62,316,407,3,778
1876,19,DOG: FAILURE TO REMOVE CANINE WASTE,0,1,0,1,0,0,0,0,73
1877,19,"IMITATION PISTOL/AIR RIFLE, POSSESSION OF",2,0,0,0,0,0,0,0,16
1878,19,DOG: NO VACCINATION,0,4,1,1,1,0,0,0,250
1879,19,IMPROPER TURN,3,0,1,3,1,0,0,0,4
1880,19,VENDOR: FAIL TO DISPLAY PERMIT,0,0,13,42,36,103,125,1,400
1881,19,GRAFFITI,1,0,0,1,0,1,0,0,20
1882,19,PICK UP HAIL IN BUS STOP,0,1,0,5,7,3,6,0,271
1883,19,INTERSECTION,0,0,0,0,1,0,0,0,7
